#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: "alpha" in the cutoff power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## Epeak: "Epeak" in the cutoff power-law model (equation below).
## Epeak_low: The lower limit of "Epeak" (90% confidence region).
## Epeak_hi: The upper limit of "Epeak" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the cutoff power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Cutoff power-law (CPL) equation: f = norm*((E/enorm)^{alpha})*(exp(-E(2+alpha)/Epeak))
#####################################################################################
#####################################################################################
GRBname | Trig_ID | alpha | alpha_low | alpha_hi | Epeak | Epeak_low | Epeak_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | null_prob | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB200303A   |    959431    | -1.399650e+00 | -1.562690e+00 | -1.230720e+00 | 1.401400e+02 | 1.047510e+02 | 3.028650e+02 | 7.923090e-03 | 6.730690e-03 | 9.382100e-03 | 45.95 | 56 | 0.918421 | 8.29e-01 | 50.0000 | 229.8 | -36.548000 | 193.260000 |  
GRB200228B   |    958733    | -1.436870e+00 | -2.064640e+00 | 1.037000e+00 | 2.635900e+01 | N/A | N/A | 1.283400e-02 | N/A | N/A | 56.62 | 56 | 1.00614 | 4.52e-01 | 50.0000 | 7.812 | -0.844000 | 6.968000 |  
GRB200227A   |    958592    | -1.160340e+00 | -1.347530e+00 | -9.651780e-01 | 1.667870e+02 | 1.221640e+02 | 3.527850e+02 | 1.135100e-02 | 9.428020e-03 | 1.376810e-02 | 55.74 | 56 | 1.10175 | 4.85e-01 | 50.0000 | 88.23 | -0.496000 | 87.732000 |  
GRB200224A   |    958141    | -2.020430e+00 | -2.833860e+00 | -1.084020e+00 | 8.404520e+00 | N/A | N/A | 4.199770e-04 | N/A | N/A | 45.93 | 56 | 0.817544 | 8.29e-01 | 50.0000 | 50 | -0.792000 | 49.208000 |  
GRB200219A   |    957271    | -7.958980e-01 | -1.719070e+00 | 7.205960e-01 | 9.227160e+01 | 5.686720e+01 | 0.000000e+00 | 8.748910e-04 | 3.625720e-04 | 4.964670e-03 | 58.89 | 56 | 1.04947 | 3.70e-01 | 50.0000 | 320 | -15.600000 | 304.400000 |  
GRB200216B   |    956824    | -6.576830e-01 | -1.126810e+00 | -1.310130e-01 | 4.972190e+01 | 4.468200e+01 | 5.695610e+01 | 1.034980e-02 | 5.772580e-03 | 2.007880e-02 | 49.01 | 56 | 1.24825 | 7.34e-01 | 50.0000 | 80.44 | -0.720000 | 79.720000 |  
GRB200215A   |    956639    | -1.054050e+00 | -1.406300e+00 | -6.682710e-01 | 1.408100e+02 | 9.259710e+01 | 9.996410e+02 | 1.125640e-02 | 7.727360e-03 | 1.711100e-02 | 59.67 | 56 | 1.09772 | 3.44e-01 | 50.0000 | 15.34 | -9.972000 | 5.368000 |  
GRB200205B   |    954519    | -1.345790e+00 | -1.644790e+00 | -1.024740e+00 | 6.107760e+01 | 5.237810e+01 | 8.373640e+01 | 3.755800e-03 | 2.649920e-03 | 5.475740e-03 | 53.12 | 56 | 1.08386 | 5.84e-01 | 50.0000 | 376.4 | 47.100000 | 520.396000 |  
GRB200131A   |    953689    | -1.173540e+00 | -1.245350e+00 | -1.028520e+00 | 3.487360e+02 | 2.035990e+02 | 7.471640e+03 | 1.621160e-02 | 1.431260e-02 | 1.859930e-02 | 38.62 | 56 | 0.728772 | 9.63e-01 | 50.0000 | 50.01 | -3.452000 | 46.556000 |  
GRB200127A   |    952791    | -1.617390e+00 | -2.530440e+00 | -9.794670e-01 | 9.147770e+02 | 0.000000e+00 | 0.000000e+00 | 1.095170e-03 | 9.463340e-04 | 1.185940e-03 | 49.54 | 56 | 0.868772 | 7.16e-01 | 50.0000 | 237.2 | -144.312000 | 92.936000 |  
GRB200125A   |    952164    | -1.819380e+00 | -2.099920e+00 | -1.511910e+00 | 7.692870e+01 | 2.795450e-01 | 0.000000e+00 | 2.249820e-03 | 1.632520e-03 | 3.245290e-03 | 42.86 | 56 | 0.758772 | 9.02e-01 | 50.0000 | 464 | -36.224000 | 427.736000 |  
GRB200122A   |    950330    | -1.533490e+00 | -1.634820e+00 | -1.349230e+00 | 3.457940e+02 | 0.000000e+00 | 0.000000e+00 | 5.443260e-03 | 4.946640e-03 | 6.564540e-03 | 42.81 | 56 | 0.759825 | 9.03e-01 | 50.0000 | 237.9 | -8.820000 | 229.076000 |  
GRB200115A   |    949361    | -1.212050e+00 | -1.448090e+00 | -9.626950e-01 | 7.082630e+01 | 6.247280e+01 | 8.716160e+01 | 6.459370e-03 | 4.980130e-03 | 8.511840e-03 | 36.19 | 56 | 0.945965 | 9.82e-01 | 50.0000 | 352.7 | -122.904000 | 231.188000 |  
GRB200109A   |    948361    | -1.306290e+00 | -1.438560e+00 | -1.163230e+00 | 9.999360e+03 | 0.000000e+00 | 0.000000e+00 | 1.496260e-03 | 1.389610e-03 | 2.069500e-03 | 45.50 | 56 | 0.797719 | 8.41e-01 | 50.0000 | 144 | -31.448000 | 112.552000 |  
